Recall Number,Open Date,Year,Class(R),Class(A),Pounds Recalled,Product,Problem Type
054-2013,19/09/2013,2013,I,1,58240,Ground Beef,Extraneous Material
055-2013,25/09/2013,2013,I,1,132950,RTE Chicken and Ham Products,Other
056-2013,27/09/2013,2013,II,2,17194,Frozen Pizza Products,Undeclared Allergen
057-2013,01/10/2013,2013,III,3,89720,Ground Beef,Extraneous Material
058-2013,12/10/2013,2013,I,1,39755,Rotisserie Chicken Products,Salmonella
059-2013,22/10/2013,2013,I,1,22800,Various RTE Products,Listeria monocytogenes
060-2013,22/10/2013,2013,I,1,Undetermined,Ground Beef,E. coli
061-2013,24/10/2013,2013,I,1,222959,RTE Chicken Salad Products,Listeria monocytogenes
062-2013,25/10/2013,2013,I,1,27933,RTE Broccoli Salad Kits,Listeria monocytogenes
063-2013,26/10/2013,2013,II,2,13118,Salami Products,Other
064-2013,07/11/2013,2013,III,3,809,Chicken Sausage,Undeclared Substance
065-2013,10/11/2013,2013,I,1,181620,RTE Salads and Wraps,E. coli
066-2013,13/11/2013,2013,I,1,251,Poultry Products,Other
067-2013,22/11/2013,2013,II,2,101,RTE Pork Roast Products,Other
068-2013,22/11/2013,2013,I,1,156924,Chicken Fettuccine Alfredo Products,Undeclared Allergen
069-2013,22/11/2013,2013,I,1,5616,Bolognese Sauce Products,Undeclared Allergen
070-2013,27/11/2013,2013,III,3,3536,Smoked Uncured Hams,Other
071-2013,06/12/2013,2013,I,1,2600,Prosciutto Ham Product,Listeria monocytogenes
072-2013,06/12/2013,2013,II,2,22368,Chicken Noodle Soup,Undeclared Allergen
073-2013,09/12/2013,2013,I,1,90000,Meat and Poultry Products,Other
074-2013,19/12/2013,2013,I,1,740,Dried Sausage Products,Processing Defect
075-2013,20/12/2013,2013,I,1,24784,Frozen Raw Chicken Products,Other
001-2014,10/01/2014,2014,I,1,33840,Mechanically Separated Chicken Products,Salmonella
002-2014,13/01/2014,2014,I,1,42103,Various Beef Products,Other
003-2014,15/01/2014,2014,I,1,2664,Beef Franks,Undeclared Allergen
004-2014,17/01/2014,2014,II,2,130000,Beef and Pork Products,Undeclared Allergen
005-2014,17/01/2014,2014,I,1,67113,Spiral Hams,Listeria monocytogenes
006-2014,19/01/2014,2014,II,2,1770000,Cheeseburger Mac Products,Undeclared Allergen
007-2014,27/01/2014,2014,II,2,1250000,Frozen Chicken Products,Undeclared Allergen
008-2014,30/01/2014,2014,I,1,2446,Chicken Salad Products,Undeclared Allergen
009-2014,01/02/2014,2014,II,2,144000,Various Meat and Poultry Products,Undeclared Allergen
010-2014,04/02/2014,2014,I,1,15865,Beef Products,E. coli
011-2014,04/02/2014,2014,I,1,54673,Chicken Noodle Soup,Undeclared Allergen
012-2014,08/02/2014,2014,I,1,365,Beef Jerky,Processing Defect
013-2014,08/02/2014,2014,I,1,8742700,Various Beef Products,Other
014-2014,11/02/2014,2014,II,2,90000,Beef Jerky Products,Undeclared Allergen
015-2014,15/02/2014,2014,I,1,309594,Dried Egg Products,Salmonella
016-2014,22/02/2014,2014,II,2,8895,Various Meat Products,Other
017-2014,26/02/2014,2014,I,1,1282,Liver Pâté,Other
018-2014,07/03/2014,2014,I,1,29200,Chicken Products,Undeclared Allergen
019-2014,01/04/2014,2014,I,1,8730,Chicken Products,Undeclared Allergen
020-2014,02/04/2014,2014,I,1,633,Fettuccini Alfredo with Chicken Products,Undeclared Allergen
021-2014,04/04/2014,2014,II,2,75320,Chicken Nugget Products,Extraneous Material
022-2014,17/04/2014,2014,II,2,5723,Salami Type Products,Other
023-2014,19/04/2014,2014,I,1,24000,Chicken Breast Tenders Products,Undeclared Allergen
024-2014,20/04/2014,2014,I,1,96000,Hot Dog Products,Undeclared Allergen
025-2014,24/04/2014,2014,I,1,36,Baby Back Ribs,Other
026-2014,25/04/2014,2014,II,2,350,Barbecue Pork Products,Undeclared Allergen
027-2014,03/05/2014,2014,I,1,130,Curry Chicken Salad,Listeria monocytogenes
028-2014,16/05/2014,2014,I,1,222000,Pork and Poultry Products,Other
029-2014,16/05/2014,2014,III,3,449000,Pork Products,Other
030-2014,19/05/2014,2014,I,1,1800000,Ground Beef Products,E. coli
031-2014,21/05/2014,2014,I,1,23250,Chicken Breast and Tender Products,Undeclared Allergen
032-2014,23/05/2014,2014,I,1,568503,Beef Products,Undeclared Allergen
033-2014,29/05/2014,2014,III,3,363,Boneless Skinless Chicken Breasts ,Other
034-2014,11/06/2014,2014,II,2,4012,Ribeye and Carcass Products,Other
035-2014,13/06/2014,2014,I,1,3156,Turkey Base,Undeclared Allergen
036-2014,19/06/2014,2014,I,1,12180,Chicken Pad Thai,Undeclared Allergen
037-2014,19/06/2014,2014,II,2,3660,Slab Bacon,Undeclared Allergen
038-2014,21/06/2014,2014,I,1,332,Pork Mini Buns Products,Undeclared Allergen
039-2014,25/06/2014,2014,II,2,1761,Sausage Products,Undeclared Allergen
040-2014,25/06/2014,2014,III,3,34,Pork Products,Undeclared Substance
041-2014,26/06/2014,2014,II,2,14760,Raw Pork Nugget Products,Undeclared Allergen
042-2014,27/06/2014,2014,II,2,5896,Deli Ham Product,Extraneous Material
043-2014,03/07/2014,2014,I,1,75465,Beef Products,Extraneous Material
044-2014,03/07/2014,2014,I,1,0,Chicken Products,Salmonella
045-2014,04/07/2014,2014,I,1,59,Various Chicken Products,Other
046-2014,18/07/2014,2014,I,1,202,Grilled Chicken Product,Undeclared Allergen
047-2014,22/07/2014,2014,II,2,82440,Sausage Product,Undeclared Allergen
048-2014,24/07/2014,2014,I,1,475,Ready-to-Eat Products,Listeria monocytogenes
049-2014,26/07/2014,2014,I,1,2476,Raw Boneless Turkey Breasts,Undeclared Allergen
050-2014,06/08/2014,2014,I,1,106800,Sausage Product,Undeclared Allergen
051-2014,09/08/2014,2014,III,3,57578,Chicken Strip Products,Processing Defect
052-2014,12/08/2014,2014,II,2,15306,Chicken Nugget Product,Extraneous Material
053-2014,15/08/2014,2014,I,1,368,Ground Beef Products,E. coli
054-2014,21/08/2014,2014,I,1,92657,Chicken Caesar Salad Kits,Listeria monocytogenes
055-2014,27/08/2014,2014,I,1,8316,Breaded Chicken Product,Listeria monocytogenes
056-2014,06/09/2014,2014,II,2,720,Fresh Raw Chicken Products,Processing Defect
057-2014,12/09/2014,2014,I,1,4820,Pork Sausage,Undeclared Allergen
058-2014,12/09/2014,2014,I,1,0,Beef Jerky Products,Other
059-2014,23/09/2014,2014,I,1,607, Uncured Beef Corn Dogs,Other
060-2014,25/09/2014,2014,I,1,39747,Frozen Chicken Breast Strips,Listeria monocytogenes
061-2014,25/09/2014,2014,I,1,23100,Beef Products,E. coli
062-2014,27/09/2014,2014,I,1,8,Beef Jerky Products,Other
063-2014,30/09/2014,2014,III,3,2633,Ground Beef,Extraneous Material
064-2014,02/10/2014,2014,I,1,160,Pork Blood Product,Other
065-2014,03/10/2014,2014,I,1,48,Beef Jerky Products,Other
066-2014,04/10/2014,2014,II,2,90987,Ground Beef Products,Extraneous Material
067-2014,06/10/2014,2014,I,1,540,Beef Products,Processing Defect
068-2014,07/10/2014,2014,I,1,62488,Meat and Poultry Products,Listeria monocytogenes
069-2014,14/10/2014,2014,I,1,1008,Italian Style Wedding Soup,Undeclared Allergen
070-2014,16/10/2014,2014,II,2,115505,Chicken Products,Undeclared Allergen
071-2014,17/10/2014,2014,I,1,27948,Lamb Products,Other
072-2014,24/10/2014,2014,II,2,377,Salad with Chicken,Undeclared Allergen
073-2014,24/10/2014,2014,I,1,28980,Chicken Products,Salmonella
074-2014,25/10/2014,2014,I,1,31689,Chicken Products,Other
075-2014,30/10/2014,2014,I,1,25765,Boudin Products,Other
076-2014,06/11/2014,2014,I,1,6560,Pork Products,Undeclared Allergen
077-2014,09/11/2014,2014,II,2,4465,Frozen Pork Products,Undeclared Allergen
078-2014,14/11/2014,2014,I,1,2059,Pierogi Products,Undeclared Allergen
079-2014,15/11/2014,2014,I,1,1208951,Pretzel Dog Products,Undeclared Allergen
080-2014,19/11/2014,2014,II,2,2902,Pork Products,Undeclared Allergen
081-2014,19/11/2014,2014,I,1,14,Sausage Products,Undeclared Allergen
082-2014,22/11/2014,2014,I,1,1200,Ground Beef Products,E. coli
083-2014,04/12/2014,2014,I,1,44372,Pork Belly Product,Other
084-2014,10/12/2014,2014,II,2,308,Chef Salads with Ham and Turkey,Undeclared Allergen
085-2014,19/12/2014,2014,III,3,2719,Spicy Sausage Pasta Products,Other
086-2014,22/12/2014,2014,III,3,80050,Hickory Smoked Sliced Bacon,Undeclared Substance
087-2014,22/12/2014,2014,I,1,26108,Pork Products,Other
088-2014,23/12/2014,2014,III,3,3450,Sliced Uncured Apple Smoked Bacon ,Other
089-2014,27/12/2014,2014,I,1,190450,Pork Products,Undeclared Allergen
090-2014,27/12/2014,2014,I,1,83666,Pork products,Undeclared Allergen
091-2014,27/12/2014,2014,I,1,55813,Chicken and Beef Products,Undeclared Allergen
092-2014,29/12/2014,2014,I,1,38400,Beef and Pork Products,Undeclared Allergen
093-2014,31/12/2014,2014,I,1,5300,Chicken Products,Undeclared Allergen
094-2014,31/12/2014,2014,I,1,4474,Canned Soup Products,Undeclared Allergen
001-2015,02/01/2015,2015,I,1,35275,Australian Bone-In Lamb Shoulder,Other
002-2015,07/01/2015,2015,I,1,359,Boneless Beef,Other
003-2015,07/01/2015,2015,I,1,35865,Chili With Beans,Undeclared Allergen
004-2015,08/01/2015,2015,I,1,48139,RTE Beef and Pork Products,Extraneous Material
005-2015,08/01/2015,2015,I,1,7092,Halal Beef Soujouk Dried Beef Sausage,Undeclared Allergen
006-2015,09/01/2015,2015,I,1,1062,Smoked Pork Andouille Sausage,Undeclared Allergen
007-2015,12/01/2015,2015,I,1,700,Beef Cut Strips for Fajita,Undeclared Allergen
008-2015,14/01/2015,2015,III,3,33948,Ground Beef,Extraneous Material
009-2015,14/01/2015,2015,I,1,1690,Beef Franks Hot & Spicy Chipotle,Undeclared Allergen
010-2015,16/01/2015,2015,I,1,931,Tasso,Undeclared Allergen
011-2015,16/01/2015,2015,I,1,48210,Chorizo,Undeclared Allergen
012-2015,16/01/2015,2015,I,1,869,Beef and Chicken Products,Undeclared Allergen
013-2015,17/01/2015,2015,I,1,3233,Iberico Pork Ham,Other
014-2015,17/01/2015,2015,I,1,8856,La Guadalupana Chicken Tamales,Other
015-2015,17/01/2015,2015,I,1,168473,Dehydrated Pork Broth,Other
016-2015,17/01/2015,2015,I,1,14130,Chicken and Beef,Undeclared Allergen
017-2015,21/01/2015,2015,I,1,130,Three Little Pigs French Pork Rillettes,Other
018-2015,21/01/2015,2015,I,1,1819,Beef Chicken and Pork,Undeclared Allergen
019-2015,23/01/2015,2015,I,1,1140,Teriyaki Flavored ChicNSteakes,Undeclared Allergen
020-2015,23/01/2015,2015,I,1,17700,Chicken Breast Fritters,Undeclared Allergen
021-2015,26/01/2015,2015,I,1,376,Rabbit Elk Duck Sausage,Undeclared Allergen
022-2015,28/01/2015,2015,I,1,1620,Beef Trim,E. coli
023-2015,29/01/2015,2015,I,1,14610,Ginseng Chicken Stew,Other
024-2015,30/01/2015,2015,I,1,2863,Smokehouse Deli Karpatskaya Smoked Salami,Processing Defect
025-2015,30/01/2015,2015,I,1,529,Natural Dehydrated Pork Broth,Other
026-2015,30/01/2015,2015,I,1,42,Seasoned St. Louis Style Ribs,Undeclared Allergen
027-2015,30/01/2015,2015,I,1,70077,Cooked Pork,Undeclared Allergen
028-2015,04/02/2015,2015,III,3,29,Beer Bratwurst,Other
029-2015,10/02/2015,2015,I,1,2705,Poultry Products,Other
030-2015,10/02/2015,2015,I,1,33191,Ready To Eat Products,Undeclared Allergen
031-2015,13/02/2015,2015,I,1,1999,Boneless Beef Products,Other
032-2015,17/02/2015,2015,II,2,4287,Pork Sausage Products,Undeclared Allergen
033-2015,17/02/2015,2015,I,1,59,Egg Sausage and Cheese Tortilla,Undeclared Allergen
034-2015,19/02/2015,2015,I,1,21427,RTE Beef Patties,Listeria monocytogenes
035-2015,20/02/2015,2015,I,1,50904,Frozen Pork Belly,Other
036-2015,26/02/2015,2015,II,2,42669,RTE Link Sausages,Undeclared Allergen
037-2015,01/03/2015,2015,I,1,32,Beef Jerky,Processing Defect
038-2015,02/03/2015,2015,II,2,126705,Beef Products,Undeclared Allergen
039-2015,04/03/2015,2015,II,2,1400,Bavarian Meats Bavarian Brand Loaf,Undeclared Allergen
040-2015,05/03/2015,2015,I,1,50953,Pork and Beef Products,Other
041-2015,06/03/2015,2015,I,1,58180,Ready-To-Eat Beef Products,Listeria monocytogenes
042-2015,12/03/2015,2015,I,1,10429,Chicken Products,Undeclared Allergen
043-2015,12/03/2015,2015,II,2,30665,Uncured Bacon Bits,Undeclared Allergen
044-2015,13/03/2015,2015,I,1,644,Fried Pork Skin,Other
045-2015,14/03/2015,2015,II,2,16722,Various Beef and Chicken Products,Undeclared Allergen
046-2015,14/03/2015,2015,II,2,3700,Beef Products,Undeclared Allergen
047-2015,17/03/2015,2015,III,3,134,Buffalo Jerky,Other
048-2015,18/03/2015,2015,I,1,31851,Stone Ridge Roasted Garlic Pork Tenderloin,Undeclared Allergen
049-2015,20/03/2015,2015,I,1,232,Pork Potstickers and Chicken Dim Su,Undeclared Allergen
050-2015,20/03/2015,2015,I,1,385,Pork and Beef Products,Other
051-2015,23/03/2015,2015,III,3,2149,Roast Beef,Other
052-2015,25/03/2015,2015,III,3,62841,Flap Meat Tb,Other
053-2015,01/04/2015,2015,I,1,1108,Canned Corned Beef,Other
054-2015,02/04/2015,2015,I,1,4,RTE Smoked Beef and Pork Product,Listeria monocytogenes
055-2015,02/04/2015,2015,I,1,902,Raw Cuts Of Beef Lamb and Goat,Other
056-2015,08/04/2015,2015,I,1,450,Beef and Chicken Burritos,Other
057-2015,08/04/2015,2015,I,1,34923,Pork and Chicken Tamale,Undeclared Allergen
058-2015,10/04/2015,2015,III,3,8294,Ground Beef,Extraneous Material
059-2015,11/04/2015,2015,II,2,15600,Pork Yucatan Tamales Beef Brisket,Undeclared Allergen
060-2015,14/04/2015,2015,I,1,1800,Veal Carcasses,Other
061-2015,14/04/2015,2015,I,1,1920,Chicken Baby Food,Extraneous Material
062-2015,15/04/2015,2015,II,2,569,Cured Ham Bacon and Jowls,Other
063-2015,17/04/2015,2015,I,1,3821,Beef and Chicken Blintzes,Undeclared Allergen
064-2015,18/04/2015,2015,I,1,2129,Cured and Uncured Pork,Processing Defect
065-2015,20/04/2015,2015,III,3,737,Smoked Turkey and Beef Items,Undeclared Substance
066-2015,20/04/2015,2015,II,2,59203,Fully Cooked Chicken Sausage Products,Other
067-2015,23/04/2015,2015,I,1,34075,Grilled Chicken Breast Products,Extraneous Material
068-2015,24/04/2015,2015,I,1,10164,Beef and Pork Products,Undeclared Allergen
069-2015,24/04/2015,2015,II,2,3350,Beef and Pork Products,Undeclared Allergen
070-2015,27/04/2015,2015,I,1,1029,Beef Products,E. coli
071-2015,29/04/2015,2015,I,1,9073384,Beef and Chicken Products,Undeclared Allergen
072-2015,30/04/2015,2015,II,2,159291,Dried Beef Sausage,Undeclared Allergen
073-2015,01/05/2015,2015,II,2,4672,Chicken Noodle Soup,Other
074-2015,01/05/2015,2015,II,2,22,Ground Beef,Extraneous Material
075-2015,07/05/2015,2015,I,1,665,Beef Products,Undeclared Allergen
076-2015,07/05/2015,2015,II,2,1729,Raw Pork and Chicken Sausage Products,Undeclared Allergen
077-2015,08/05/2015,2015,II,2,46612,Barbequed Pork With Sauce,Undeclared Allergen
079-2015,14/05/2015,2015,II,2,2191,Chicken and Turkey Products,Unapproved Substance
078-2015,16/05/2015,2015,II,2,414,Pork and Veal Stuffing Product,Undeclared Allergen
080-2015,17/05/2015,2015,I,1,2522,Boneless Veal Trim Products,E. coli
081-2015,20/05/2015,2015,I,1,598374,Chicken Beef and Pork Products,Other
082-2015,22/05/2015,2015,II,2,12,Roast Beef,Undeclared Allergen
083-2015,22/05/2015,2015,II,2,4038,Pork Products,Other
084-2015,29/05/2015,2015,I,1,18000,Turkey and Cheese Lunch Kits,Undeclared Allergen
085-2015,03/06/2015,2015,I,1,16000,Ground Beef Products,E. coli
086-2015,04/06/2015,2015,II,2,29052,Poultry and Pork Products,Other
087-2015,04/06/2015,2015,I,1,49308,Pork Sausage Products,Extraneous Material
088-2015,06/06/2015,2015,II,2,11670,Chicken and Turkey Sausage Products,Other
089-2015,09/06/2015,2015,II,2,93006,Poultry Products,Undeclared Allergen
090-2015,12/06/2015,2015,II,2,529,Beef Tongue,Other
091-2015,15/06/2015,2015,I,1,36,Pork Products,Other
092-2015,16/06/2015,2015,II,2,25380,Pork Sausage,Undeclared Allergen
093-2015,17/06/2015,2015,III,3,668316,Poultry Products,Undeclared Substance
094-2015,20/06/2015,2015,I,1,2478,Pork and Beef Products,Listeria monocytogenes
095-2015,26/06/2015,2015,I,1,67232,Beef Products,Other
096-2015,02/07/2015,2015,I,1,1765814,Raw Stuffed Poultry Products,Salmonella
097-2015,03/07/2015,2015,I,1,26975,Beef Products,E. coli
098-2015,07/07/2015,2015,I,1,1540,Beef Lips,Other
099-2015,10/07/2015,2015,II,2,495,Turkey Sausage Products,Extraneous Material
100-2015,15/07/2015,2015,I,1,20232,Gluten-Free Breaded Chicken Product,Other
101-2015,15/07/2015,2015,I,1,2539680,Raw Stuffed and Breaded Chicken,Salmonella
102-2015,16/07/2015,2015,III,3,5960,Sausage Products,Other
103-2015,20/07/2015,2015,III,3,778,Salad Products With Bacon,Undeclared Substance
104-2015,23/07/2015,2015,I,1,Undetermined,Beef Products,E. coli
105-2015,30/07/2015,2015,I,1,12672,Squab,Other
106-2015,31/07/2015,2015,I,1,3574,Poultry and Pork Products,Other
107-2015,03/08/2015,2015,II,2,17,Beef Sausages,Other
108-2015,07/08/2015,2015,II,2,7368,Cut-Up Chicken Products,Other
109-2015,11/08/2015,2015,I,1,185,Jambalaya With Chicken and Andouille,Undeclared Allergen
110-2015,13/08/2015,2015,I,1,523380,Whole Roaster Hogs & Assorted Pork,Salmonella
111-2015,14/08/2015,2015,I,1,Undetermined,Steak and Chicken Pie Products,Other
112-2015,17/08/2015,2015,I,1,3950,Beef Tallow,Other
113-2015,25/08/2015,2015,II,2,2068467,Oscar Mayer Turkey Bacon Variety,Other
114-2015,26/08/2015,2015,II,2,6644,Duck Head and Duck Neck Products,Undeclared Allergen
115-2015,27/08/2015,2015,III,3,20063,Marinated Boneless Beef Tender Tip,Undeclared Allergen
116-2015,28/08/2015,2015,I,1,41,Kung Pao-Style Chicken Wrap,Undeclared Allergen
117-2015,31/08/2015,2015,I,1,7228,Canned Corned Beef,Other
118-2015,31/08/2015,2015,III,3,501509,Quarter Pound Beef Patties,Undeclared Substance
119-2015,02/09/2015,2015,I,1,89235,Pork Sausage Products,Extraneous Material
120-2015,08/09/2015,2015,I,1,5391,Salami,Undeclared Substance
121-2015,08/09/2015,2015,I,1,20,Ground Beef,E. coli
122-2015,10/09/2015,2015,I,1,18406,Pork Rinds,Undeclared Allergen
123-2015,16/09/2015,2015,I,1,1280,Parma Boneless Ham,Other
124-2015,24/09/2015,2015,I,1,554090,Poultry Products,Extraneous Material
125-2015,25/09/2015,2015,II,2,216,Chicken Product,Undeclared Allergen
126-2015,29/09/2015,2015,I,1,230,Frozen Beef and Pork Products,Undeclared Allergen
127-2015,17/10/2015,2015,I,1,12566,Beef Pork and Poultry,Other
128-2015,20/10/2015,2015,I,1,276,Turkey Meatloaf,Undeclared Allergen
129-2013,22/10/2015,2015,I,1,25920,Turkey Products,Other
130-2015,22/10/2015,2015,I,1,2659,Packaged Soup Products,Other
131-2015,24/10/2015,2015,I,1,234,Curry Chicken Salad Products,Listeria monocytogenes
132-2015,26/10/2015,2015,I,1,224,14-Lb. Of Smoked Kielbasa 100-Lb.,Listeria monocytogenes
133-2015,30/10/2015,2015,I,1,332,Beef Chicken and Pork Dumpling,Other
134-2015,30/10/2015,2015,II,2,190,Gluten Free Turkey Meatballs,Other
135-2015,01/11/2015,2015,I,1,167427,Ground Beef,E. coli
136-2015,01/11/2015,2015,I,1,265,Salad Kits With Chicken,Undeclared Allergen
137-2015,06/11/2015,2015,II,2,168,Beef-Filled Dough (Steak Fiesta),Undeclared Allergen
138-2015,06/11/2015,2015,I,1,4030,Boneless Pork Shoulders Products,Other
139-2015,07/11/2015,2015,I,1,5208,Beef and Pork Jalapeño Cheddar Bratwurst,Undeclared Allergen
140-2015,07/11/2015,2015,I,1,3607,Beef Pork and Poultry,Undeclared Allergen
141-2015,16/11/2015,2015,II,2,52486,Chicken Wings,Other
142-2015,19/11/2015,2015,II,2,59028,Mama Cozzi’s Rising Crust Pepperoni,Undeclared Allergen
143-2015,25/11/2015,2015,II,2,Undetermined,Seasoned-Cooked Beef Top Round Product,Undeclared Allergen
144-2015,27/11/2015,2015,I,1,1754,Beef and Chicken Empanada,Other
145-2015,03/12/2015,2015,I,1,152010,Frozen Pureed Meat and Poultry,Undeclared Allergen
146-2015,09/12/2015,2015,II,2,12146,Boneless Ham,Undeclared Allergen
147-2015,18/12/2015,2015,I,1,4338,Cured Pork Products,Other
148-2015,19/12/2015,2015,I,1,Undetermined,Cured Pork Products,Other
149-2015,22/12/2015,2015,II,2,285264,Boneless Pork Rib Entrées,Extraneous Material
150-2015,31/12/2015,2015,II,2,235,Jafflz Retro Pocket Sandwiches,Processing Defect
001-2016,04/01/2016,2016,II,2,89568,Beef products ,Extraneous Material
002-2016,05/01/2016,2016,I,1,14,Cajun Hickory Smoked Pork Tasso ,Listeria monocytogenes
003-2016,05/01/2016,2016,I,1,1125,Chicken products ,Other
004-2016,06/01/2016,2016,I,1,7687,Beef Pork and Chicken Products ,Other
005-2016,08/01/2016,2016,II,2,4040,Pork Sausage,Undeclared Substance
006-2016,16/01/2016,2016,II,2,22182,Sweet Apple Chicken Sausage,Undeclared Substance
007-2016,20/01/2016,2016,I,1,410,Ground Beef,E. coli
008-2016,22/01/2016,2016,III,3,549539,Chili without Beans,Undeclared Substance
009-2016,23/01/2016,2016,I,1,38950,Meat and Poultry Pasta Products,Other
010-2016,25/01/2016,2016,II,2,73898,Pepperoni Pizza,Undeclared Substance
011-2016,25/01/2016,2016,II,2,1320,Beef Knockwurst Sausage Links ,Undeclared Substance
012-2016,30/01/2016,2016,I,1,289,Beef and Chicken ,Other
013-2016,05/02/2016,2016,I,1,491,Pork Meat Ravioli ,Other
014-2016,08/02/2016,2016,I,1,135,Uncured Bacon Ganache Bar,Undeclared Allergen
015-2016,09/02/2016,2016,II,2,450, Beef Stew,Extraneous Material
016-2016,12/02/2016,2016,I,1,25215,Pork Bacon Fritters,Extraneous Material
017-2016,13/02/2016,2016,I,1,7275,Meatball Soup Products ,Other
018-2016,16/02/2016,2016,II,2,3710,Southwest Style Chicken Salad,Extraneous Material
019-2016,19/02/2016,2016,I,1,1006,Edamame Hummus Wrap,Undeclared Allergen
020-2016,23/02/2016,2016,III,3,6000,Shirakiku Pork Gyoza Dumplings,Undeclared Substance
021-2016,25/02/2016,2016,I,1,3004,Various Chicken Salad Products ,Listeria monocytogenes
022-2016,03/03/2016,2016,II,2,19200,Fully Cooked Chicken Products,Undeclared Allergen
023-2016,05/03/2016,2016,I,1,4530, Chicken Nuggets,Extraneous Material
024-2016,10/03/2016,2016,I,1,267024,Chicken Pizza and Lasagna Products,Extraneous Material
025-2016,22/03/2016,2016,I,1,111,Southwest Chicken Salad,Undeclared Allergen
026-2016,06/04/2016,2016,I,1,2881,Meat & Poultry Pinwheels,Extraneous Material
027-2016,07/04/2016,2016,I,1,5176844, Fully Cooked Chicken Products,Extraneous Material
028-2016,12/04/2016,2016,I,1,467,Pork Sausage and Bacon Products,Undeclared Allergen
029-2016,14/04/2016,2016,I,1,10455,Chicken and Turkey Products,Undeclared Allergen
