Recall Number,Open Date,Year,Class(R),Class(A),Pounds Recalled,Product,Problem Type
090-2017,09/08/2017,2017,III,3,2133,Morrison Aussie Pies Steak and Mush,Undeclared Substance
091-2017,09/08/2017,2017,I,1,3960,Beef patties,Undeclared Allergen
092-2017,12/08/2017,2017,I,1,4805,Poultry entree's,Undeclared Allergen
093-2017,15/08/2017,2017,II,2,1719,Chicken Caesar Salads,Undeclared Allergen
094-2017,22/08/2017,2017,I,1,1134,Pork Sausage Patties,Listeria monocytogenes
095-2017,23/08/2017,2017,I,1,20446,Fully cooked chicken skewer product,Listeria monocytogenes
096-2017,25/08/2017,2017,II,2,3448,Chicken breakfast sausage produc,Undeclared Allergen
097-2017,26/08/2017,2017,I,1,12169,Skinless frozen pork bellies,Other
098-2017,26/08/2017,2017,I,1,15092,Frozen beef pork and chicken produ,Undeclared Allergen
099-2017,30/08/2017,2017,I,1,32228,RTE Chicken Sausage Product,Undeclared Allergen
100-2017,08/09/2017,2017,I,1,123,Italian Style Meatballs,Undeclared Allergen
101-2017,15/09/2017,2017,I,1,63823,NRTE Pork Sausage Products,Undeclared Allergen
102-2017,16/09/2017,2017,I,1,1252,NRTE smoked meat products,Processing Defect
103-2017,29/09/2017,2017,I,1,0,Smoked Turkey Drumsticks,Undeclared Allergen
104-2017,02/10/2017,2017,II,2,38475,Ground Turkey Products,Extraneous Material
105-2017,03/10/2017,2017,II,2,1150,Raw chicken thigh products,Undeclared Allergen
106-2017,04/10/2017,2017,I,1,700,Ground beef,E. coli
107-2017,05/10/2017,2017,II,2,1222,RTE beef products,Undeclared Allergen
108-2017,12/10/2017,2017,I,1,133,Ground beef,E. coli
109-2017,12/10/2017,2017,II,2,12816,Shredded Beef,Extraneous Material
110-2017,13/10/2017,2017,II,2,22630,Genoa Salami and Capocollo ,Extraneous Material
111-2017,17/10/2017,2017,I,1,8000,Chicken and Pork products,Undeclared Allergen
112-2017,17/10/2017,2017,I,1,32136,RTE bagged soups,Extraneous Material
113-2017,18/10/2017,2017,I,1,4225,Marinated scallops wrapped in bacon,Undeclared Allergen
114-2017,20/10/2017,2017,I,1,701,Chicken products,Listeria monocytogenes
115-2017,28/10/2017,2017,II,2,732,Taylor Farms American Style Pasta S,Undeclared Allergen
116-2017,01/11/2017,2017,I,1,28064,Meat and Poultry Burrito and Wrap ,Listeria monocytogenes
117-2017,02/11/2017,2017,I,1,269,RTE meat and poultry products ,Other
118-2017,08/11/2017,2017,I,1,26000,Beef and Pork Hot pockets,Undeclared Allergen
119-2017,09/11/2017,2017,I,1,10839,Raw chicken breast product,Extraneous Material
120-2017,13/11/2017,2017,I,1,231,RTE meat and poultry products,Other
121-2017,14/11/2017,2017,I,1,264,RTE Chicken with rice,Listeria monocytogenes
122-2017,15/11/2017,2017,II,2,116,Beef Tongues,Other
123-2017,16/11/2017,2017,I,1,297828,Chicken and pork products,Other
124-2017,16/11/2017,2017,I,1,46,Chicken  products ,Undeclared Allergen
125-2017,18/11/2017,2017,I,1,36854,RTE Chicken and Turkey Salads,Extraneous Material
126-2017,01/12/2017,2017,I,1,46810,Beef meatballs,Undeclared Allergen
127-2017,01/12/2017,2017,I,1,813,Rafedain Fully Cooked Chicken Patty,Undeclared Allergen
128-2017,12/12/2017,2017,II,2,143,Genoa Salami,Extraneous Material
129-2017,16/12/2017,2017,I,1,1076,Salami and Prosciutto,Salmonella
130-2017,21/12/2017,2017,I,1,7570,Ground beef,Undeclared Allergen
131-2017,26/12/2017,2017,I,1,4702,Boneless stew meat,Extraneous Material
